id,url,le_id,legislator,ad,name,county,gender,party,in_office,education,experience,image,created_at,updated_at,party_logo
33,http://vote.ly.g0v.tw/api/legislator_terms/2375/,2375,http://vote.ly.g0v.tw/api/legislator/1722/,8,蔣乃辛,臺北市,男,中國國民黨,1,大同大學事業經營研究所碩士畢業,第7屆立法委員\台北市第4、5、6、7、8、9、10屆議員\台北市家庭扶助中心扶幼委員會主任委員\台北市金華國中、小學家長會榮譽會長\政治大學大同大學校友會理事,http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/81093.jpg,2015-10-30 18:38:14,2015-11-04 05:05:50,http://attach.kmt.org.tw/200910/20091015163058.jpg
34,http://vote.ly.g0v.tw/api/legislator_terms/2392/,2392,http://vote.ly.g0v.tw/api/legislator/1736/,8,呂玉玲,桃園縣,女,中國國民黨,1,南亞技術學院企業管理科\育達高級中學畢業\中壢國中\中壢國小,婦聯青溪桃園縣支會主任委員\中央大學客家學院平鎮客家書院執行委員\中華民國婦女聯合會平鎮分會主委\桃園縣守望相助隊平鎮中隊中隊長\平鎮市社區營造協會理事長\平鎮市文化志工協會理事長\芃呈企業股份有限公司負責人,http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/81017.jpg,2015-10-30 18:38:14,2015-11-04 05:05:50,http://attach.kmt.org.tw/200910/20091015163058.jpg
35,http://vote.ly.g0v.tw/api/legislator_terms/1968/,1968,http://vote.ly.g0v.tw/api/legislator/1312/,8,孔文吉,山地原住民,男,中國國民黨,1,台灣大學外文系\美國奧勒崗大學新聞碩士\英國羅芙堡大學社會學系媒體研究組博士,行政院新聞局聯絡室秘書\內政部民政司專員\花蓮師範學院多元文化研究所\國立東華大學及東吳大學兼任助理教授\文藻外語專科學校及朝陽科技大學助理教授\公共電視董事\台北市政府原住民事務委員會主任委員,http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/80007.jpg,2015-10-30 18:38:14,2015-11-04 05:05:50,http://attach.kmt.org.tw/200910/20091015163058.jpg
36,http://vote.ly.g0v.tw/api/legislator_terms/1378/,1378,http://vote.ly.g0v.tw/api/legislator/855/,8,葉宜津,臺南市,女,民主進步黨,1,美國 Bridgeport 大學音樂碩士,公民監督國會聯盟唯一評鑑滿分立委\澄社評鑑連續多年獲得表現優秀立委\商業周刊評鑑優秀立委\2007年美國國務院「菁英計畫」訪問學人\民進黨中央黨部婦女部主任\民進黨立法院黨團幹事長、書記長\現任立法委員\台灣省議員暨民進黨黨團總召\台中師院、台南師院講師\奧地利維也納音樂學院,http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/80083.jpg,2015-10-30 18:38:14,2015-11-04 05:05:50,https://upload.wikimedia.org/wikipedia/zh/thumb/c/c1/Emblem_of_Democratic_Progressive_Party_(new).svg/1024px-Emblem_of_Democratic_Progressive_Party_(new).svg.png
37,http://vote.ly.g0v.tw/api/legislator_terms/1325/,1325,http://vote.ly.g0v.tw/api/legislator/833/,8,陳根德,桃園縣,男,中國國民黨,1,私立元智大學社會暨政策科學研究所畢業,第7屆立法委員\救國團桃園縣主任委員\桃園縣義警大隊長\桃園農工崇學基金會董事長\台灣省義勇人員安全濟助基金會董事\曾任第4、5、6屆立法委員\桃園縣議會議長\中華民國及桃園縣後備憲兵荷松協會理事長\桃園縣體育會理事長\桃園縣民眾服務社理事長,http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/80063.jpg,2015-10-30 18:38:14,2015-11-04 05:05:50,http://attach.kmt.org.tw/200910/20091015163058.jpg
38,http://vote.ly.g0v.tw/api/legislator_terms/2377/,2377,http://vote.ly.g0v.tw/api/legislator/1723/,8,劉建國,雲林縣,男,民主進步黨,1,國立空中大學公共行政系\美和技術學院社工系\南華大學旅遊管理學系暨旅遊管理碩士班,凱達格蘭學校地方領袖班\第7屆立法委員社會福利及衛生環境委員會召集委員\立法院厚生會祕書長\民進黨中央執行委員\民進黨議會黨團召集人暨第15、16屆議員\縣議會教育及預算小組召集人\第六屆斗六市民代表\雲林縣體育會副理事長\雲林縣棒球委員會主委\雲林縣社會關懷協會創會理事長,http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/80089.jpg,2015-10-30 18:38:14,2015-11-04 05:05:50,https://upload.wikimedia.org/wikipedia/zh/thumb/c/c1/Emblem_of_Democratic_Progressive_Party_(new).svg/1024px-Emblem_of_Democratic_Progressive_Party_(new).svg.png
39,http://vote.ly.g0v.tw/api/legislator_terms/585/,585,http://vote.ly.g0v.tw/api/legislator/515/,8,丁守中,臺北市,男,中國國民黨,1,美國佛萊契爾外交法律研究院（哈佛大學合作管理）外交法律碩士、國際政治學博士\台大政治系學士,中華民國第1、2、3、4、6、7屆立法委員\立法院經濟委員會召集委員、委員長\立法院國防委員會召集委員\臺灣大學政治研究所副教授\美國史丹福大學胡佛研究所客座研究員\中國國民黨中央政策會副執行長\中華民國籃球協會理事長\中華兩岸文化創意產業發展協會理事長\國際佛光會中華總會副總會長\中華捐血運動協會常務理事\中華儒道研究協會名譽理事長\董氏基金會終生義工 ,http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/80001.jpg,2015-10-30 18:38:14,2015-11-04 05:05:50,http://attach.kmt.org.tw/200910/20091015163058.jpg
40,http://vote.ly.g0v.tw/api/legislator_terms/2410/,2410,http://vote.ly.g0v.tw/api/legislator/40/,8,黃文玲,全國不分區,女,臺灣團結聯盟,0,國立交通大學碩士\東吳大學法學士,碩成國際法律事務所主持律師\台北市同慶扶輪社創社社長\中華民國仲裁協會仲裁人\彰化同鄉總會理事\彰化青年菁英會理事長\彰化縣政府及鄉鎮法律扶助顧問\經濟部中小企業處榮譽諮詢律師\台灣奇案法律顧問,http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/80074.jpg,2015-10-30 18:38:14,2015-11-04 05:05:50,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/TUS.png/125px-TUS.png
41,http://vote.ly.g0v.tw/api/legislator_terms/2354/,2354,http://vote.ly.g0v.tw/api/legislator/1709/,8,陳節如,全國不分區,女,民主進步黨,1,師大英語系\蘭陽女子高中,中華民國智障者家長總會副理事長\臺灣社會福利聯盟副理事長\臺北市智障者家長協會理事長\育成社會福利基金會董事長\中華民國殘障聯盟常務理事\台北市社會福利聯盟理事長\行政院社會福利推動委員會委員\內政部替代役審議委員儲委員\教育部特殊教育諮詢委員會委員\勞委會身心障礙者就業委員會委員\台北市勞工局就業基金專戶管理委員會委員\台北市社會福利委員會委員\行政院社會福利委員會委員\國立台灣師範大學進修部學分班\育成社會福利基金會董事長\立法委員,http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/80067.jpg,2015-10-30 18:38:14,2015-11-04 05:05:50,https://upload.wikimedia.org/wikipedia/zh/thumb/c/c1/Emblem_of_Democratic_Progressive_Party_(new).svg/1024px-Emblem_of_Democratic_Progressive_Party_(new).svg.png
42,http://vote.ly.g0v.tw/api/legislator_terms/2385/,2385,http://vote.ly.g0v.tw/api/legislator/1729/,8,王惠美,彰化縣,女,中國國民黨,1,東海大學政治系學士\東海大學政治學碩士,鹿鳴國中教師\伸港國中教師\大慶商工教師\大葉大學兼任講師\彰化縣議會第13、14、15屆議員\鹿港鎮第15、16屆鎮長\鹿菁獅子會會長\晴光文教基金會董事長\救國團鹿港團委會會長\彰化縣青工會總會長,http://www.ly.gov.tw/upload/01_introduce/0103_leg/LGpicture/81005.jpg,2015-10-30 18:38:14,2015-11-04 05:05:50,http://attach.kmt.org.tw/200910/20091015163058.jpg
